import time: self [us] | cumulative | imported package
import time:        78 |         78 |   _io
import time:        14 |         14 |   marshal
import time:        95 |         95 |   posix
import time:       268 |        454 | _frozen_importlib_external
import time:      1749 |       1749 |   time
import time:       104 |       1853 | zipimport
import time:        19 |         19 |     _codecs
import time:       241 |        260 |   codecs
import time:       402 |        402 |   encodings.aliases
import time:       417 |       1078 | encodings
import time:       200 |        200 | encodings.utf_8
import time:        34 |         34 | _signal
import time:        12 |         12 |     _abc
import time:        72 |         84 |   abc
import time:        73 |        157 | io
import time:        19 |         19 |       _stat
import time:        41 |         60 |     stat
import time:       348 |        348 |     _collections_abc
import time:        27 |         27 |       errno
import time:        34 |         34 |       genericpath
import time:        61 |        121 |     posixpath
import time:       224 |        751 |   os
import time:        38 |         38 |   _sitebuiltins
import time:       301 |        301 |   encodings.utf_8_sig
import time:       172 |        172 |     __future__
import time:       183 |        183 |       importlib
import time:        27 |        209 |     importlib.machinery
import time:       190 |        190 |       importlib._abc
import time:       232 |        232 |       types
import time:        64 |        485 |     importlib.util
import time:        44 |         44 |     itertools
import time:       169 |        169 |             keyword
import time:        26 |         26 |               _operator
import time:       221 |        247 |             operator
import time:       177 |        177 |             reprlib
import time:        24 |         24 |             _collections
import time:       557 |       1171 |           collections
import time:        19 |         19 |           _functools
import time:       357 |       1546 |         functools
import time:       348 |        348 |           contextlib
import time:       648 |        648 |             enum
import time:        27 |         27 |               _sre
import time:       207 |        207 |                 re._constants
import time:       269 |        475 |               re._parser
import time:       147 |        147 |               re._casefix
import time:       437 |       1085 |             re._compiler
import time:       215 |        215 |             copyreg
import time:       373 |       2319 |           re
import time:       172 |        172 |           fnmatch
import time:       371 |       3209 |         glob
import time:       301 |       5055 |       pathlib._abc
import time:        28 |         28 |           _winapi
import time:        16 |         16 |           nt
import time:        13 |         13 |           nt
import time:        13 |         13 |           nt
import time:        12 |         12 |           nt
import time:        12 |         12 |           nt
import time:        12 |         12 |           nt
import time:        11 |         11 |           nt
import time:       103 |        216 |         ntpath
import time:       310 |        310 |         warnings
import time:        15 |         15 |         pwd
import time:       290 |        290 |         grp
import time:       344 |       1173 |       pathlib._local
import time:       175 |       6402 |     pathlib
import time:       457 |       7767 |   __editable___sentifargo_0_1_0_finder
import time:       227 |        227 |   _distutils_hack
import time:       211 |        211 |   sitecustomize
import time:      1023 |      10315 | site
import time:       603 |        603 | linecache
import time:       275 |        275 | uais
